"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-132","-132","9.57","9.67","(-149, -117)"," 990","2.09e+03","   1"
"2","CLHat","57.3","56.2","10.9","10.9","(41.3, 76.5)","4.21e+03","2.78e+03","   1"
"3","QHat"," 109"," 106","22.7","21.2","(75.6,  151)","3.64e+03","2.92e+03","   1"
"4","V1Hat","7.49"," 7.3","1.79","1.69","(4.97, 10.7)","7.94e+03","2.55e+03","   1"
"5","V2Hat","1.05e+03","1.03e+03"," 205"," 197","( 745, 1.41e+03)","4.26e+03","3.24e+03","   1"
"6","KAHat","1.33","1.27","0.449","0.414","(0.748, 2.17)","2.13e+03","2.63e+03","   1"
"7","fr[1]","1.28","1.25","0.238","0.234","(0.927, 1.71)","4.29e+03","3.15e+03","   1"
"8","fr[2]","2.82","2.77","0.587","0.562","(1.96, 3.84)","3.84e+03","3.03e+03","   1"
"9","fr[3]","0.947","0.92","0.232","0.222","(0.62, 1.35)","8.21e+03","2.82e+03","   1"
"10","fr[4]","2.17","2.14","0.422","0.416","(1.55, 2.93)","3.74e+03","2.96e+03","   1"
"11","omega[1]","0.518","0.513","0.0803","0.0775","(0.401, 0.662)","2.39e+03","2.63e+03","   1"
"12","omega[2]","0.559","0.543","0.134","0.126","(0.368, 0.804)","1.72e+03","2.23e+03","   1"
"13","omega[3]","0.425","0.412","0.108","0.101","(0.274, 0.62)","6.38e+03","2.8e+03","   1"
"14","omega[4]","0.479","0.47","0.0946","0.0905","(0.336, 0.647)","2.19e+03","2.58e+03","   1"
"15","omega[5]","1.29","1.28","0.174","0.17","(1.02,  1.6)","1.91e+03","2.02e+03","   1"
"16","sigma","0.32","0.318","0.0302","0.029","(0.275, 0.376)","2.5e+03","2.95e+03","   1"
"17","nu","4.19","3.78","1.42","0.785","(3.08, 6.69)","3e+03","2.75e+03","   1"
"18","rho[2,1]","0.0162","0.0166","0.188","0.192","(-0.295, 0.328)","2.94e+03","3.18e+03","   1"
"19","rho[3,1]","0.0302","0.0307","0.206","0.213","(-0.315, 0.367)","8.5e+03","3e+03","   1"
"20","rho[4,1]","0.0724","0.0759","0.174","0.174","(-0.213, 0.357)","2.58e+03","2.95e+03","   1"
"21","rho[5,1]","-0.317","-0.317","0.137","0.142","(-0.539, -0.0898)","2.85e+03","3.12e+03","   1"
"22","rho[1,2]","0.0162","0.0166","0.188","0.192","(-0.295, 0.328)","2.94e+03","3.18e+03","   1"
"23","rho[3,2]","-0.069","-0.0748","0.196","0.205","(-0.388, 0.261)","9.56e+03","2.99e+03","   1"
"24","rho[4,2]","0.149","0.153","0.18","0.181","(-0.157, 0.436)","3.05e+03","3.03e+03","   1"
"25","rho[5,2]","0.262","0.268","0.163","0.165","(-0.0125, 0.522)","2.13e+03","2.92e+03","   1"
"26","rho[1,3]","0.0302","0.0307","0.206","0.213","(-0.315, 0.367)","8.5e+03","3e+03","   1"
"27","rho[2,3]","-0.069","-0.0748","0.196","0.205","(-0.388, 0.261)","9.56e+03","2.99e+03","   1"
"28","rho[4,3]","0.00406","0.00409","0.201","0.209","(-0.319, 0.332)","2.46e+03","2.93e+03","   1"
"29","rho[5,3]","-0.0744","-0.0786","0.197"," 0.2","(-0.398, 0.25)","2.21e+03","2.85e+03","   1"
"30","rho[1,4]","0.0724","0.0759","0.174","0.174","(-0.213, 0.357)","2.58e+03","2.95e+03","   1"
"31","rho[2,4]","0.149","0.153","0.18","0.181","(-0.157, 0.436)","3.05e+03","3.03e+03","   1"
"32","rho[3,4]","0.00406","0.00409","0.201","0.209","(-0.319, 0.332)","2.46e+03","2.93e+03","   1"
"33","rho[5,4]","0.0968"," 0.1","0.156","0.157","(-0.169, 0.345)","3.28e+03","2.84e+03","   1"
"34","rho[1,5]","-0.317","-0.317","0.137","0.142","(-0.539, -0.0898)","2.85e+03","3.12e+03","   1"
"35","rho[2,5]","0.262","0.268","0.163","0.165","(-0.0125, 0.522)","2.13e+03","2.92e+03","   1"
"36","rho[3,5]","-0.0744","-0.0786","0.197"," 0.2","(-0.398, 0.25)","2.21e+03","2.85e+03","   1"
"37","rho[4,5]","0.0968"," 0.1","0.156","0.157","(-0.169, 0.345)","3.28e+03","2.84e+03","   1"
