"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-94.9","-94.5","9.17","9.39","(-110, -80.6)","1.24e+03","2e+03","   1"
"2","CLHat","46.8","45.3","11.8","11.3","(30.1,   68)","9.57e+03","2.97e+03","   1"
"3","QHat","39.7","38.3","10.4","9.71","(25.3, 58.3)","8.9e+03","2.59e+03","   1"
"4","V1Hat","8.16","7.93","2.06","1.95","(5.31, 11.9)","1.05e+04","2.94e+03","   1"
"5","V2Hat"," 496"," 481"," 130"," 123","( 314,  734)","8.97e+03","2.66e+03","   1"
"6","KAHat","1.14","1.01","0.606","0.495","(0.436, 2.32)","1.13e+04","2.29e+03","   1"
"7","KA14Hat","4.88","4.58","1.96","1.99","( 2.1, 8.61)","5.73e+03","2.12e+03","   1"
"8","KA41Hat","0.0906","0.0812","0.0472","0.0399","(0.0351, 0.177)","1.16e+04","2.81e+03","   1"
"9","omega[1]","0.412","0.399","0.101","0.0986","(0.271, 0.595)","9.01e+03","2.84e+03","   1"
"10","omega[2]","0.415","0.403","0.107","0.103","(0.263, 0.608)","8.68e+03","2.57e+03","   1"
"11","omega[3]","0.41","0.396","0.103","0.0938","(0.265, 0.599)","8.4e+03","2.43e+03","   1"
"12","omega[4]","0.413"," 0.4","0.108","0.101","(0.26, 0.612)","1.04e+04","2.42e+03","0.999"
"13","omega[5]","0.413","0.399","0.104","0.102","(0.268, 0.598)","1.01e+04","2.87e+03","   1"
"14","omega[6]","0.415","0.402","0.106","0.102","(0.263, 0.607)","1.01e+04","2.83e+03","   1"
"15","omega[7]","0.412","0.398","0.106","0.0985","(0.265, 0.605)","9.36e+03","2.65e+03","0.999"
"16","sigma","0.207"," 0.2","0.0541","0.0512","(0.131, 0.308)","1.02e+04","2.75e+03","   1"
"17","nu","20.6","17.3","13.8","11.7","(4.99,   48)","5.21e+03","2.06e+03","   1"
"18","rho[2,1]","0.00269","0.00286","0.191","0.19","(-0.315, 0.318)","1.01e+04","3.01e+03","   1"
"19","rho[3,1]","0.000128","0.000748","0.194"," 0.2","(-0.317, 0.315)","9.76e+03","2.83e+03","   1"
"20","rho[4,1]","0.000301","-0.00123","0.194","0.204","(-0.313, 0.315)","9.47e+03","2.68e+03","   1"
"21","rho[5,1]","-0.000338","0.00128","0.193","0.192","(-0.319, 0.32)","8.43e+03","3.01e+03","   1"
"22","rho[6,1]","0.00211","0.000505","0.195","0.195","(-0.322, 0.32)","9.56e+03","2.65e+03","   1"
"23","rho[7,1]","-0.00232","-0.00562","0.202","0.202","(-0.344, 0.336)","8.39e+03","2.42e+03","   1"
"24","rho[1,2]","0.00269","0.00286","0.191","0.19","(-0.315, 0.318)","1.01e+04","3.01e+03","   1"
"25","rho[3,2]","0.000341","-0.00268","0.194"," 0.2","(-0.316, 0.32)","8.08e+03","2.67e+03","   1"
"26","rho[4,2]","-0.00247","-0.00226","0.202","0.204","(-0.339, 0.337)","7.77e+03","2.66e+03","   1"
"27","rho[5,2]","-0.000878","-0.0018","0.192","0.193","(-0.317, 0.312)","7.97e+03","2.95e+03","   1"
"28","rho[6,2]","-0.00195","-0.00496","0.193","0.195","(-0.317, 0.315)","7.45e+03","2.89e+03","   1"
"29","rho[7,2]","-0.000621","0.00115"," 0.2","0.207","(-0.329, 0.329)","8.78e+03","2.74e+03","   1"
"30","rho[1,3]","0.000128","0.000748","0.194"," 0.2","(-0.317, 0.315)","9.76e+03","2.83e+03","   1"
"31","rho[2,3]","0.000341","-0.00268","0.194"," 0.2","(-0.316, 0.32)","8.08e+03","2.67e+03","   1"
