"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"32","rho[4,3]","0.00215","0.000669","0.194","0.202","(-0.314, 0.319)","6.3e+03","2.43e+03","   1"
"33","rho[5,3]","0.00335","0.000875","0.199","0.207","(-0.322, 0.339)","7.04e+03","2.71e+03","   1"
"34","rho[6,3]","-0.000158","0.00111","0.194","0.203","(-0.311, 0.315)","5.99e+03","2.72e+03","   1"
"35","rho[7,3]","-0.000372","0.00361","0.199","0.204","(-0.333, 0.325)","6.98e+03","2.39e+03","   1"
"36","rho[1,4]","0.000301","-0.00123","0.194","0.204","(-0.313, 0.315)","9.47e+03","2.68e+03","   1"
"37","rho[2,4]","-0.00247","-0.00226","0.202","0.204","(-0.339, 0.337)","7.77e+03","2.66e+03","   1"
"38","rho[3,4]","0.00215","0.000669","0.194","0.202","(-0.314, 0.319)","6.3e+03","2.43e+03","   1"
"39","rho[5,4]","0.000178","-0.00224","0.194","0.199","(-0.316, 0.317)","5.89e+03","2.74e+03","   1"
"40","rho[6,4]","0.000876","0.000558"," 0.2","0.21","(-0.322, 0.326)","7.16e+03","2.83e+03","   1"
"41","rho[7,4]","0.00147","-0.00131","0.202"," 0.2","(-0.334, 0.34)","5.46e+03","2.28e+03","   1"
"42","rho[1,5]","-0.000338","0.00128","0.193","0.192","(-0.319, 0.32)","8.43e+03","3.01e+03","   1"
"43","rho[2,5]","-0.000878","-0.0018","0.192","0.193","(-0.317, 0.312)","7.97e+03","2.95e+03","   1"
"44","rho[3,5]","0.00335","0.000875","0.199","0.207","(-0.322, 0.339)","7.04e+03","2.71e+03","   1"
"45","rho[4,5]","0.000178","-0.00224","0.194","0.199","(-0.316, 0.317)","5.89e+03","2.74e+03","   1"
"46","rho[6,5]","-0.00279","-0.00159","0.201","0.202","(-0.336, 0.331)","5.18e+03","2.23e+03","   1"
"47","rho[7,5]","-0.00393","-0.0042","0.194","0.197","(-0.329, 0.319)","5.09e+03","2.42e+03","   1"
"48","rho[1,6]","0.00211","0.000505","0.195","0.195","(-0.322, 0.32)","9.56e+03","2.65e+03","   1"
"49","rho[2,6]","-0.00195","-0.00496","0.193","0.195","(-0.317, 0.315)","7.45e+03","2.89e+03","   1"
"50","rho[3,6]","-0.000158","0.00111","0.194","0.203","(-0.311, 0.315)","5.99e+03","2.72e+03","   1"
"51","rho[4,6]","0.000876","0.000558"," 0.2","0.21","(-0.322, 0.326)","7.16e+03","2.83e+03","   1"
"52","rho[5,6]","-0.00279","-0.00159","0.201","0.202","(-0.336, 0.331)","5.18e+03","2.23e+03","   1"
"53","rho[7,6]","0.00129","-0.00206","0.198","0.199","(-0.328, 0.334)","4.04e+03","2.75e+03","   1"
"54","rho[1,7]","-0.00232","-0.00562","0.202","0.202","(-0.344, 0.336)","8.39e+03","2.42e+03","   1"
"55","rho[2,7]","-0.000621","0.00115"," 0.2","0.207","(-0.329, 0.329)","8.78e+03","2.74e+03","   1"
"56","rho[3,7]","-0.000372","0.00361","0.199","0.204","(-0.333, 0.325)","6.98e+03","2.39e+03","   1"
"57","rho[4,7]","0.00147","-0.00131","0.202"," 0.2","(-0.334, 0.34)","5.46e+03","2.28e+03","   1"
"58","rho[5,7]","-0.00393","-0.0042","0.194","0.197","(-0.329, 0.319)","5.09e+03","2.42e+03","   1"
"59","rho[6,7]","0.00129","-0.00206","0.198","0.199","(-0.328, 0.334)","4.04e+03","2.75e+03","   1"
