"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-152","-153","6.18","6.27","(-159, -143)","4.03","  NA"," Inf"
"2","CLHat","17.4","17.1","2.33","2.27","(14.4, 20.9)","4.03","  NA"," Inf"
"3","Q1Hat"," 130"," 125","  22","18.3","( 107,  165)","4.03","  NA"," Inf"
"4","Q2Hat","  64","65.5","4.61","3.38","(56.5, 68.6)","4.03","  NA"," Inf"
"5","V1Hat","12.7","12.3","3.23","3.06","(8.73, 17.7)","4.03","  NA"," Inf"
"6","V2Hat","99.1"," 101","  26","26.5","(60.7,  134)","4.03","  NA"," Inf"
"7","V3Hat"," 505"," 493","54.4","  38","( 443,  593)","4.03","  NA"," Inf"
"8","KAHat","4.22","3.95","   1","0.963","(3.29, 5.69)","4.03","  NA"," Inf"
"9","omega[1]","0.442","0.372","0.202","0.109","(0.244, 0.779)","4.03","  NA"," Inf"
"10","omega[2]","0.356","0.323","0.0837","0.0402","(0.282, 0.497)","4.03","  NA"," Inf"
"11","omega[3]","0.493","0.468","0.0992","0.0931","(0.393, 0.645)","4.03","  NA"," Inf"
"12","omega[4]","0.439","0.454","0.0826","0.0656","(0.31, 0.539)","4.03","  NA"," Inf"
"13","omega[5]","0.479","0.491","0.11","0.126","(0.319, 0.615)","4.03","  NA"," Inf"
"14","omega[6]","0.564","0.531","0.202","0.17","(0.316, 0.879)","4.03","  NA"," Inf"
"15","omega[7]","0.742","0.637"," 0.3","0.202","(0.462, 1.23)","4.03","  NA"," Inf"
"16","sigma","0.423","0.41","0.0379","0.0178","(0.386, 0.487)","4.03","  NA"," Inf"
"17","nu","5.38","4.06","2.92","0.912","(3.01, 10.4)","4.03","  NA"," Inf"
"18","rho[2,1]","-0.0229","0.0262","0.137","0.0827","(-0.249, 0.105)","4.03","  NA"," Inf"
"19","rho[3,1]","0.0509","0.0924","0.175","0.165","(-0.218, 0.237)","4.03","  NA"," Inf"
"20","rho[4,1]","-0.0614","-0.0101","0.317","0.305","(-0.548, 0.322)","4.03","  NA"," Inf"
"21","rho[5,1]","-0.16","-0.201","0.198","0.211","(-0.364, 0.127)","4.03","  NA"," Inf"
"22","rho[6,1]","0.0778","0.0952","0.206","0.268","(-0.19, 0.311)","4.03","  NA"," Inf"
"23","rho[7,1]","-0.0495","0.00845","0.186","0.143","(-0.349, 0.134)","4.03","  NA"," Inf"
"24","rho[1,2]","-0.0229","0.0262","0.137","0.0827","(-0.249, 0.105)","4.03","  NA"," Inf"
"25","rho[3,2]","-0.0064","0.0323","0.128","0.0833","(-0.217, 0.127)","4.03","  NA"," Inf"
"26","rho[4,2]","0.0449","0.028","0.235","0.311","(-0.223, 0.346)","4.03","  NA"," Inf"
"27","rho[5,2]","-0.0702","-0.108","0.0935","0.0352","(-0.153, 0.0886)","4.03","  NA"," Inf"
"28","rho[6,2]","-0.118","-0.169","0.246","0.185","(-0.407, 0.273)","4.03","  NA"," Inf"
"29","rho[7,2]","0.0242","0.0303","0.125","0.175","(-0.122, 0.158)","4.03","  NA"," Inf"
"30","rho[1,3]","0.0509","0.0924","0.175","0.165","(-0.218, 0.237)","4.03","  NA"," Inf"
"31","rho[2,3]","-0.0064","0.0323","0.128","0.0833","(-0.217, 0.127)","4.03","  NA"," Inf"
"32","rho[4,3]","-0.0636","-0.0273","0.189","0.201","(-0.34, 0.14)","4.03","  NA"," Inf"
"33","rho[5,3]","-0.11","-0.0737","0.21","0.164","(-0.439, 0.147)","4.03","  NA"," Inf"
"34","rho[6,3]","-0.0538","-0.0515","0.182","0.226","(-0.306, 0.194)","4.03","  NA"," Inf"
"35","rho[7,3]","-0.266","-0.263","0.171","0.228","(-0.494, -0.0466)","4.03","  NA"," Inf"
"36","rho[1,4]","-0.0614","-0.0101","0.317","0.305","(-0.548, 0.322)","4.03","  NA"," Inf"
"37","rho[2,4]","0.0449","0.028","0.235","0.311","(-0.223, 0.346)","4.03","  NA"," Inf"
"38","rho[3,4]","-0.0636","-0.0273","0.189","0.201","(-0.34, 0.14)","4.03","  NA"," Inf"
"39","rho[5,4]","-0.154","-0.177","0.0793","0.052","(-0.236, -0.0235)","4.03","  NA"," Inf"
"40","rho[6,4]","0.132","0.191","0.215","0.166","(-0.214, 0.359)","4.03","  NA"," Inf"
"41","rho[7,4]","0.15","0.182","0.219","0.255","(-0.157, 0.393)","4.03","  NA"," Inf"
"42","rho[1,5]","-0.16","-0.201","0.198","0.211","(-0.364, 0.127)","4.03","  NA"," Inf"
"43","rho[2,5]","-0.0702","-0.108","0.0935","0.0352","(-0.153, 0.0886)","4.03","  NA"," Inf"
"44","rho[3,5]","-0.11","-0.0737","0.21","0.164","(-0.439, 0.147)","4.03","  NA"," Inf"
"45","rho[4,5]","-0.154","-0.177","0.0793","0.052","(-0.236, -0.0235)","4.03","  NA"," Inf"
"46","rho[6,5]","-0.121","-0.323","0.38","0.0608","(-0.374, 0.534)","4.03","  NA"," Inf"
"47","rho[7,5]","0.135","0.114","0.177","0.193","(-0.0832, 0.397)","4.03","  NA"," Inf"
"48","rho[1,6]","0.0778","0.0952","0.206","0.268","(-0.19, 0.311)","4.03","  NA"," Inf"
"49","rho[2,6]","-0.118","-0.169","0.246","0.185","(-0.407, 0.273)","4.03","  NA"," Inf"
"50","rho[3,6]","-0.0538","-0.0515","0.182","0.226","(-0.306, 0.194)","4.03","  NA"," Inf"
"51","rho[4,6]","0.132","0.191","0.215","0.166","(-0.214, 0.359)","4.03","  NA"," Inf"
"52","rho[5,6]","-0.121","-0.323","0.38","0.0608","(-0.374, 0.534)","4.03","  NA"," Inf"
"53","rho[7,6]","0.0514","0.0763","0.117","0.109","(-0.129, 0.182)","4.03","  NA"," Inf"
"54","rho[1,7]","-0.0495","0.00845","0.186","0.143","(-0.349, 0.134)","4.03","  NA"," Inf"
"55","rho[2,7]","0.0242","0.0303","0.125","0.175","(-0.122, 0.158)","4.03","  NA"," Inf"
"56","rho[3,7]","-0.266","-0.263","0.171","0.228","(-0.494, -0.0466)","4.03","  NA"," Inf"
"57","rho[4,7]","0.15","0.182","0.219","0.255","(-0.157, 0.393)","4.03","  NA"," Inf"
"58","rho[5,7]","0.135","0.114","0.177","0.193","(-0.0832, 0.397)","4.03","  NA"," Inf"
"59","rho[6,7]","0.0514","0.0763","0.117","0.109","(-0.129, 0.182)","4.03","  NA"," Inf"
