"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-143","-142","11.1","  11","(-161, -125)"," 919","1.65e+03","   1"
"2","CLHat","68.3","67.8","8.41","8.69","(55.1, 82.7)","1.02e+03","1.57e+03","   1"
"3","QHat","49.3","47.6","12.4","11.9","(32.3, 71.5)","1.59e+03","2.29e+03","   1"
"4","V1Hat","7.81","7.57","2.14","2.03","(4.75, 11.7)"," 709","1.84e+03","1.01"
"5","V2Hat"," 528"," 514"," 125"," 118","( 351,  760)","2.25e+03","2.85e+03","   1"
"6","KAHat","1.05","0.985","0.393","0.41","(0.519, 1.76)"," 532","2.06e+03","1.01"
"7","KA14Hat","5.17","4.98","1.99","2.26","( 2.3, 8.73)"," 489","1.75e+03","1.01"
"8","KA41Hat","0.165","0.161","0.0359","0.0349","(0.113, 0.23)","1.99e+03","2.46e+03","   1"
"9","omega[1]","0.489","0.484","0.0746","0.0716","(0.377, 0.621)","1.44e+03","2e+03","   1"
"10","omega[2]","0.475","0.448","0.151","0.128","(0.287, 0.763)","1.45e+03","1.32e+03","   1"
"11","omega[3]","1.06","1.09","0.365","0.422","(0.482, 1.64)"," 356","1.22e+03","1.02"
"12","omega[4]","0.413"," 0.4","0.106","0.0998","(0.265, 0.603)","3.72e+03","2.62e+03","   1"
"13","omega[5]","0.46","0.443","0.129","0.125","(0.281, 0.696)"," 717","1.38e+03","1.01"
"14","omega[6]","0.456","0.437","0.127","0.113","(0.288, 0.694)"," 829","1.39e+03","1.01"
"15","omega[7]","0.542","0.532","0.125","0.123","(0.353, 0.76)","1.11e+03","1.53e+03","   1"
"16","sigma","0.316","0.314","0.026","0.0252","(0.277, 0.362)","2.51e+03","2.99e+03","   1"
"17","nu","3.58","3.39","0.595","0.404","(3.03, 4.71)","2.32e+03","1.87e+03","   1"
"18","rho[2,1]","0.0786","0.0822","0.196","0.204","(-0.247, 0.395)","2.73e+03","2.68e+03","   1"
"19","rho[3,1]","0.203","0.216","0.172","0.171","(-0.0945, 0.465)","1.04e+03","1.74e+03","   1"
"20","rho[4,1]","-0.0144","-0.0173","0.192","0.195","(-0.328, 0.306)","3.85e+03","2.66e+03","   1"
"21","rho[5,1]","-0.134","-0.137","0.183","0.19","(-0.433, 0.172)","2.06e+03","2.87e+03","   1"
"22","rho[6,1]","-0.0408","-0.042","0.188","0.192","(-0.344, 0.272)","2.38e+03","2.64e+03","   1"
"23","rho[7,1]","0.214","0.221","0.163","0.171","(-0.0617, 0.47)","3.25e+03","2.74e+03","   1"
"24","rho[1,2]","0.0786","0.0822","0.196","0.204","(-0.247, 0.395)","2.73e+03","2.68e+03","   1"
"25","rho[3,2]","0.00738","0.0085","0.192","0.196","(-0.306, 0.328)","2.02e+03","2.47e+03","   1"
"26","rho[4,2]","-0.00112","0.000522","0.197","0.207","(-0.326, 0.321)","3.89e+03","3.02e+03","   1"
"27","rho[5,2]","-0.0132","-0.0184","0.195","0.201","(-0.329, 0.307)","2.16e+03","2.71e+03","   1"
"28","rho[6,2]","0.00219","0.00106","0.192","0.194","(-0.313, 0.322)","2.79e+03","2.85e+03","   1"
"29","rho[7,2]","0.133","0.137","0.193","0.198","(-0.202, 0.434)","1.93e+03","2.43e+03","   1"
"30","rho[1,3]","0.203","0.216","0.172","0.171","(-0.0945, 0.465)","1.04e+03","1.74e+03","   1"
"31","rho[2,3]","0.00738","0.0085","0.192","0.196","(-0.306, 0.328)","2.02e+03","2.47e+03","   1"
"32","rho[4,3]","-0.0332","-0.0362","0.189","0.194","(-0.347, 0.281)","4.17e+03","3.1e+03","   1"
"33","rho[5,3]","-0.164","-0.171","0.18","0.181","(-0.444, 0.149)","2.69e+03","2.99e+03","   1"
"34","rho[6,3]","-0.169","-0.172","0.178","0.187","(-0.45, 0.131)","2e+03","2.84e+03","   1"
"35","rho[7,3]","0.099","0.106","0.176","0.177","(-0.196, 0.377)","1.83e+03","2.42e+03","   1"
"36","rho[1,4]","-0.0144","-0.0173","0.192","0.195","(-0.328, 0.306)","3.85e+03","2.66e+03","   1"
"37","rho[2,4]","-0.00112","0.000522","0.197","0.207","(-0.326, 0.321)","3.89e+03","3.02e+03","   1"
"38","rho[3,4]","-0.0332","-0.0362","0.189","0.194","(-0.347, 0.281)","4.17e+03","3.1e+03","   1"
"39","rho[5,4]","0.0315","0.0349","0.191","0.194","(-0.285, 0.343)","3.18e+03","3.24e+03","   1"
"40","rho[6,4]","-0.00485","-0.0068","0.193","0.198","(-0.329, 0.315)","2.62e+03","2.83e+03","   1"
"41","rho[7,4]","-0.028","-0.0309","0.195","0.202","(-0.352, 0.295)","2.81e+03","2.81e+03","   1"
"42","rho[1,5]","-0.134","-0.137","0.183","0.19","(-0.433, 0.172)","2.06e+03","2.87e+03","   1"
"43","rho[2,5]","-0.0132","-0.0184","0.195","0.201","(-0.329, 0.307)","2.16e+03","2.71e+03","   1"
"44","rho[3,5]","-0.164","-0.171","0.18","0.181","(-0.444, 0.149)","2.69e+03","2.99e+03","   1"
"45","rho[4,5]","0.0315","0.0349","0.191","0.194","(-0.285, 0.343)","3.18e+03","3.24e+03","   1"
"46","rho[6,5]","0.203","0.21","0.205","0.21","(-0.149, 0.526)","1.09e+03","1.85e+03","   1"
"47","rho[7,5]","-0.165","-0.176","0.187","0.192","(-0.453, 0.16)","2e+03","2.8e+03","   1"
"48","rho[1,6]","-0.0408","-0.042","0.188","0.192","(-0.344, 0.272)","2.38e+03","2.64e+03","   1"
"49","rho[2,6]","0.00219","0.00106","0.192","0.194","(-0.313, 0.322)","2.79e+03","2.85e+03","   1"
"50","rho[3,6]","-0.169","-0.172","0.178","0.187","(-0.45, 0.131)","2e+03","2.84e+03","   1"
"51","rho[4,6]","-0.00485","-0.0068","0.193","0.198","(-0.329, 0.315)","2.62e+03","2.83e+03","   1"
"52","rho[5,6]","0.203","0.21","0.205","0.21","(-0.149, 0.526)","1.09e+03","1.85e+03","   1"
"53","rho[7,6]","0.0752","0.0827","0.193","0.198","(-0.246, 0.386)","2.14e+03","2.18e+03","   1"
"54","rho[1,7]","0.214","0.221","0.163","0.171","(-0.0617, 0.47)","3.25e+03","2.74e+03","   1"
"55","rho[2,7]","0.133","0.137","0.193","0.198","(-0.202, 0.434)","1.93e+03","2.43e+03","   1"
"56","rho[3,7]","0.099","0.106","0.176","0.177","(-0.196, 0.377)","1.83e+03","2.42e+03","   1"
"57","rho[4,7]","-0.028","-0.0309","0.195","0.202","(-0.352, 0.295)","2.81e+03","2.81e+03","   1"
"58","rho[5,7]","-0.165","-0.176","0.187","0.192","(-0.453, 0.16)","2e+03","2.8e+03","   1"
"59","rho[6,7]","0.0752","0.0827","0.193","0.198","(-0.246, 0.386)","2.14e+03","2.18e+03","   1"
