"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"25","rho[3,2]","-0.0139","-0.0138","0.189","0.187","(-0.325, 0.305)","1.5e+03","2.53e+03","1.01"
"26","rho[4,2]","-0.00791","-0.0109","0.197","0.201","(-0.33, 0.317)","4.25e+03","3.07e+03","   1"
"27","rho[5,2]","0.00847","0.0104","0.197","0.199","(-0.315, 0.333)","3.61e+03","2.94e+03","   1"
"28","rho[6,2]","0.0211","0.0247","0.194","0.201","(-0.298, 0.33)","2.95e+03","3.06e+03","1.01"
"29","rho[7,2]","0.111","0.116","0.194","0.202","(-0.213, 0.427)","1.64e+03","2.5e+03","   1"
"30","rho[1,3]","0.24","0.25","0.158","0.152","(-0.0324, 0.477)"," 409"," 188","1.01"
"31","rho[2,3]","-0.0139","-0.0138","0.189","0.187","(-0.325, 0.305)","1.5e+03","2.53e+03","1.01"
"32","rho[4,3]","-0.0292","-0.0313","0.19"," 0.2","(-0.341, 0.282)","4.55e+03","3.09e+03","   1"
"33","rho[5,3]","-0.0627","-0.0634","0.189","0.193","(-0.365, 0.255)","3.01e+03","3.18e+03","   1"
"34","rho[6,3]","-0.112","-0.112","0.179","0.183","(-0.41, 0.179)","3.01e+03","2.55e+03","   1"
"35","rho[7,3]","0.115","0.117","0.168","0.168","(-0.165, 0.383)","1.14e+03"," 800","   1"
"36","rho[1,4]","-0.0168","-0.0175","0.197","0.207","(-0.338, 0.314)","6.12e+03","2.74e+03","   1"
"37","rho[2,4]","-0.00791","-0.0109","0.197","0.201","(-0.33, 0.317)","4.25e+03","3.07e+03","   1"
"38","rho[3,4]","-0.0292","-0.0313","0.19"," 0.2","(-0.341, 0.282)","4.55e+03","3.09e+03","   1"
"39","rho[5,4]","0.0224","0.0218","0.197","0.199","(-0.301, 0.355)","3.75e+03","3e+03","   1"
"40","rho[6,4]","-0.0182","-0.0185","0.199","0.206","(-0.337, 0.308)","3.37e+03","3.09e+03","   1"
"41","rho[7,4]","-0.0372","-0.0395","0.197","0.199","(-0.36, 0.292)","2.79e+03","3.24e+03","   1"
"42","rho[1,5]","-0.0373","-0.0362","0.19","0.197","(-0.345, 0.279)","3.23e+03","2.99e+03","   1"
"43","rho[2,5]","0.00847","0.0104","0.197","0.199","(-0.315, 0.333)","3.61e+03","2.94e+03","   1"
"44","rho[3,5]","-0.0627","-0.0634","0.189","0.193","(-0.365, 0.255)","3.01e+03","3.18e+03","   1"
"45","rho[4,5]","0.0224","0.0218","0.197","0.199","(-0.301, 0.355)","3.75e+03","3e+03","   1"
"46","rho[6,5]","0.0943","0.0981","0.199","0.209","(-0.232, 0.415)","3.03e+03","2.84e+03","   1"
"47","rho[7,5]","-0.116","-0.122","0.191","0.196","(-0.42, 0.202)","2.48e+03","2.54e+03","   1"
"48","rho[1,6]","0.0256","0.0183","0.187","0.19","(-0.278, 0.335)","3.09e+03","3.14e+03","   1"
"49","rho[2,6]","0.0211","0.0247","0.194","0.201","(-0.298, 0.33)","2.95e+03","3.06e+03","1.01"
"50","rho[3,6]","-0.112","-0.112","0.179","0.183","(-0.41, 0.179)","3.01e+03","2.55e+03","   1"
"51","rho[4,6]","-0.0182","-0.0185","0.199","0.206","(-0.337, 0.308)","3.37e+03","3.09e+03","   1"
"52","rho[5,6]","0.0943","0.0981","0.199","0.209","(-0.232, 0.415)","3.03e+03","2.84e+03","   1"
"53","rho[7,6]","0.113","0.112","0.193","0.199","(-0.211, 0.427)","2.09e+03","2.68e+03","   1"
"54","rho[1,7]","0.204","0.205","0.163","0.167","(-0.0711, 0.459)","3.82e+03","3.19e+03","   1"
"55","rho[2,7]","0.111","0.116","0.194","0.202","(-0.213, 0.427)","1.64e+03","2.5e+03","   1"
"56","rho[3,7]","0.115","0.117","0.168","0.168","(-0.165, 0.383)","1.14e+03"," 800","   1"
"57","rho[4,7]","-0.0372","-0.0395","0.197","0.199","(-0.36, 0.292)","2.79e+03","3.24e+03","   1"
"58","rho[5,7]","-0.116","-0.122","0.191","0.196","(-0.42, 0.202)","2.48e+03","2.54e+03","   1"
"59","rho[6,7]","0.113","0.112","0.193","0.199","(-0.211, 0.427)","2.09e+03","2.68e+03","   1"
