"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-132","-132","10.7","10.6","(-150, -115)","1.18e+03","1.97e+03","   1"
"2","CLHat","66.2","65.8","8.34","8.02","(53.1, 80.7)"," 931","1.54e+03","   1"
"3","QHat","  44","  43","9.95","9.72","(29.7, 61.7)","3.96e+03","3.23e+03","   1"
"4","V1Hat","9.35","9.15","2.15","2.02","(6.16, 13.2)","1.38e+03","1.42e+03","   1"
"5","V2Hat"," 504"," 493"," 117"," 112","( 337,  719)","3.42e+03","2.92e+03","   1"
"6","KAHat","1.99","1.93","0.563","0.537","(1.16, 3.02)","1.79e+03","2.18e+03","   1"
"7","KA14Hat","10.9","10.5","3.06","2.83","(6.62, 16.4)","1.69e+03","2.16e+03","   1"
"8","KA41Hat","0.162","0.159","0.0345","0.0336","(0.111, 0.222)","1.4e+03","2.59e+03","1.01"
"9","omega[1]","0.489","0.483","0.0735","0.0723","(0.382, 0.617)","1.59e+03","2.66e+03","   1"
"10","omega[2]","0.447","0.432","0.124","0.11","(0.278, 0.667)","1.84e+03","1.9e+03","   1"
"11","omega[3]","1.38","1.38","0.255","0.247","(0.951,  1.8)"," 297"," 158","1.02"
"12","omega[4]","0.411","0.397","0.108","0.102","(0.261, 0.612)","3.6e+03","2.47e+03","   1"
"13","omega[5]","0.378","0.368","0.0897","0.0875","(0.249, 0.541)","3.05e+03","2.57e+03","   1"
"14","omega[6]","0.391","0.381","0.0923","0.0855","(0.26, 0.559)"," 977"," 941","   1"
"15","omega[7]","0.515","0.505","0.115","0.112","(0.343, 0.72)","1.41e+03","1.75e+03","   1"
"16","sigma","0.31","0.308","0.0261","0.0252","(0.27, 0.356)","3.54e+03","3.08e+03","   1"
"17","nu","3.74","3.51","0.812","0.512","(3.04, 5.19)","2.81e+03","2.46e+03","   1"
"18","rho[2,1]","0.0417","0.0458","0.194","0.197","(-0.276, 0.357)","5.04e+03","2.1e+03","   1"
"19","rho[3,1]","0.24","0.25","0.158","0.152","(-0.0324, 0.477)"," 409"," 188","1.01"
"20","rho[4,1]","-0.0168","-0.0175","0.197","0.207","(-0.338, 0.314)","6.12e+03","2.74e+03","   1"
"21","rho[5,1]","-0.0373","-0.0362","0.19","0.197","(-0.345, 0.279)","3.23e+03","2.99e+03","   1"
"22","rho[6,1]","0.0256","0.0183","0.187","0.19","(-0.278, 0.335)","3.09e+03","3.14e+03","   1"
"23","rho[7,1]","0.204","0.205","0.163","0.167","(-0.0711, 0.459)","3.82e+03","3.19e+03","   1"
"24","rho[1,2]","0.0417","0.0458","0.194","0.197","(-0.276, 0.357)","5.04e+03","2.1e+03","   1"
