"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-132","-131","  11","10.9","(-150, -114)","1.15e+03","1.86e+03","1.01"
"2","CLHat","  66","65.6","8.35","8.19","(52.9, 80.1)","1.09e+03","1.69e+03","   1"
"3","QHat","43.9","42.7","10.2"," 9.5","(29.4, 62.4)","3.13e+03","3.21e+03","   1"
"4","V1Hat","9.39","9.13","2.23","2.12","( 6.2, 13.4)","2.3e+03","3.33e+03","   1"
"5","V2Hat"," 503"," 491"," 114"," 106","( 341,  710)","2.73e+03","3.03e+03","   1"
"6","KAHat","2.01","1.93","0.598","0.536","(1.16, 3.15)","1.74e+03","2.27e+03","   1"
"7","KA14Hat","  11","10.6","3.11","2.84","(6.59, 16.7)","2e+03","2.48e+03","   1"
"8","KA41Hat","0.163","0.159","0.0361","0.034","(0.111, 0.228)","1.13e+03","2.68e+03","   1"
"9","logKA14SEXHat","-0.000931","-0.000888","0.253","0.254","(-0.413, 0.408)","7.69e+03","2.97e+03","   1"
"10","omega[1]","0.492","0.485","0.0742","0.0719","(0.381, 0.625)","1.66e+03","2.47e+03","   1"
"11","omega[2]","0.451","0.432","0.128","0.112","(0.283, 0.689)","1.81e+03","1.05e+03","   1"
"12","omega[3]","1.39"," 1.4","0.257","0.253","(0.962, 1.81)"," 501"," 367","1.01"
"13","omega[4]","0.414","0.399","0.108","0.102","(0.265, 0.608)","3.82e+03","2.56e+03","   1"
"14","omega[5]","0.38","0.372","0.0881","0.0877","(0.255, 0.537)","2.77e+03","2.8e+03","   1"
"15","omega[6]","0.389","0.379","0.091","0.0851","(0.258, 0.555)","1.49e+03","1.65e+03","   1"
"16","omega[7]","0.518","0.506","0.115","0.111","(0.348, 0.721)","1.63e+03","2.4e+03","   1"
"17","sigma","0.309","0.308","0.0264","0.0265","(0.27, 0.355)","3.31e+03","3.17e+03","   1"
"18","nu","3.75","3.51","0.811","0.524","(3.03, 5.28)","2.83e+03","2.05e+03","   1"
"19","rho[2,1]","0.0441","0.0471","0.19","0.197","(-0.27, 0.355)","3.71e+03","2.92e+03","   1"
"20","rho[3,1]","0.238","0.245","0.151","0.148","(-0.0228, 0.474)"," 983"," 821","1.01"
"21","rho[4,1]","-0.0149","-0.0183","0.193"," 0.2","(-0.335, 0.298)","5.94e+03","2.85e+03","   1"
"22","rho[5,1]","-0.0404","-0.0435","0.196","0.205","(-0.359, 0.289)","3.74e+03","2.93e+03","   1"
"23","rho[6,1]","0.0179","0.0228","0.187","0.193","(-0.291, 0.327)","3.73e+03","3.12e+03","   1"
"24","rho[7,1]"," 0.2","0.206","0.168","0.169","(-0.0805, 0.467)","4.15e+03","3.14e+03","   1"
"25","rho[1,2]","0.0441","0.0471","0.19","0.197","(-0.27, 0.355)","3.71e+03","2.92e+03","   1"
"26","rho[3,2]","-0.0282","-0.0276","0.186","0.185","(-0.335, 0.277)","1.68e+03","2.65e+03","   1"
"27","rho[4,2]","-0.00502","-0.00616","0.197","0.204","(-0.328, 0.329)","6.04e+03","3.38e+03","   1"
"28","rho[5,2]","0.005","0.00847","0.194","0.202","(-0.32, 0.323)","3.66e+03","2.98e+03","   1"
"29","rho[6,2]","0.0206","0.0154","0.196"," 0.2","(-0.301, 0.345)","3.04e+03","2.99e+03","   1"
"30","rho[7,2]","0.116","0.119","0.188","0.191","(-0.203, 0.424)","1.96e+03","2.55e+03","   1"
