"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"31","rho[1,3]","0.238","0.245","0.151","0.148","(-0.0228, 0.474)"," 983"," 821","1.01"
"32","rho[2,3]","-0.0282","-0.0276","0.186","0.185","(-0.335, 0.277)","1.68e+03","2.65e+03","   1"
"33","rho[4,3]","-0.0288","-0.0305","0.189","0.189","(-0.347, 0.282)","5.05e+03","2.66e+03","   1"
"34","rho[5,3]","-0.055","-0.0548","0.191","0.198","(-0.363, 0.257)","2.8e+03","2.55e+03","   1"
"35","rho[6,3]","-0.106","-0.106","0.178","0.182","(-0.397, 0.187)","2.64e+03","3.04e+03","   1"
"36","rho[7,3]","0.114","0.115","0.164","0.161","(-0.159, 0.382)","1.69e+03","1.77e+03","   1"
"37","rho[1,4]","-0.0149","-0.0183","0.193"," 0.2","(-0.335, 0.298)","5.94e+03","2.85e+03","   1"
"38","rho[2,4]","-0.00502","-0.00616","0.197","0.204","(-0.328, 0.329)","6.04e+03","3.38e+03","   1"
"39","rho[3,4]","-0.0288","-0.0305","0.189","0.189","(-0.347, 0.282)","5.05e+03","2.66e+03","   1"
"40","rho[5,4]","0.024","0.0273","0.193","0.195","(-0.294, 0.344)","3.6e+03","3.13e+03","   1"
"41","rho[6,4]","-0.017","-0.0176","0.198"," 0.2","(-0.345, 0.311)","3.51e+03","3.13e+03","   1"
"42","rho[7,4]","-0.0391","-0.0413","0.197","0.203","(-0.358, 0.289)","2.35e+03","2.41e+03","   1"
"43","rho[1,5]","-0.0404","-0.0435","0.196","0.205","(-0.359, 0.289)","3.74e+03","2.93e+03","   1"
"44","rho[2,5]","0.005","0.00847","0.194","0.202","(-0.32, 0.323)","3.66e+03","2.98e+03","   1"
"45","rho[3,5]","-0.055","-0.0548","0.191","0.198","(-0.363, 0.257)","2.8e+03","2.55e+03","   1"
"46","rho[4,5]","0.024","0.0273","0.193","0.195","(-0.294, 0.344)","3.6e+03","3.13e+03","   1"
"47","rho[6,5]","0.0903","0.0964"," 0.2","0.207","(-0.247, 0.406)","3.5e+03","2.9e+03","   1"
"48","rho[7,5]","-0.106","-0.108","0.194","0.194","(-0.419, 0.223)","3.01e+03","3.08e+03","   1"
"49","rho[1,6]","0.0179","0.0228","0.187","0.193","(-0.291, 0.327)","3.73e+03","3.12e+03","   1"
"50","rho[2,6]","0.0206","0.0154","0.196"," 0.2","(-0.301, 0.345)","3.04e+03","2.99e+03","   1"
"51","rho[3,6]","-0.106","-0.106","0.178","0.182","(-0.397, 0.187)","2.64e+03","3.04e+03","   1"
"52","rho[4,6]","-0.017","-0.0176","0.198"," 0.2","(-0.345, 0.311)","3.51e+03","3.13e+03","   1"
"53","rho[5,6]","0.0903","0.0964"," 0.2","0.207","(-0.247, 0.406)","3.5e+03","2.9e+03","   1"
"54","rho[7,6]","0.114","0.119","0.191","0.194","(-0.206, 0.417)","2.53e+03","2.77e+03","   1"
"55","rho[1,7]"," 0.2","0.206","0.168","0.169","(-0.0805, 0.467)","4.15e+03","3.14e+03","   1"
"56","rho[2,7]","0.116","0.119","0.188","0.191","(-0.203, 0.424)","1.96e+03","2.55e+03","   1"
"57","rho[3,7]","0.114","0.115","0.164","0.161","(-0.159, 0.382)","1.69e+03","1.77e+03","   1"
"58","rho[4,7]","-0.0391","-0.0413","0.197","0.203","(-0.358, 0.289)","2.35e+03","2.41e+03","   1"
"59","rho[5,7]","-0.106","-0.108","0.194","0.194","(-0.419, 0.223)","3.01e+03","3.08e+03","   1"
"60","rho[6,7]","0.114","0.119","0.191","0.194","(-0.206, 0.417)","2.53e+03","2.77e+03","   1"
